Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct,
 Charlie Coyle,MIN,17,,5,,6,,11,,4,,18,,20,,16,,11,,9,,0.55,,3,,0,,0,,0,,1,,39,,0.128,
 Kyle Turris,OTT,18,,8,,3,,11,,-1,,4,,4,,14,,124,,146,,0.459,,1,,0,,0,,0,,2,,38,,0.211,
 Travis Konecny,PHI,19,,4,,7,,11,,-4,,12,,34,,6,,0,,0,,N/A,,2,,0,,0,,0,,0,,42,,0.095,
 Henrik Zetterberg,DET,18,,3,,8,,11,,0,,2,,13,,6,,131,,129,,0.504,,1,,2,,0,,0,,0,,35,,0.086,
 Brayden Schenn,PHI,16,,3,,8,,11,,-6,,13,,39,,11,,18,,17,,0.514,,3,,3,,0,,0,,1,,35,,0.086,
 David Krejci,BOS,18,,2,,9,,11,,-2,,10,,14,,16,,126,,124,,0.504,,1,,3,,0,,0,,1,,34,,0.059,
 Matt Duchene,COL,13,,6,,5,,11,,0,,2,,4,,10,,84,,58,,0.592,,0,,2,,0,,0,,2,,30,,0.2,
 Gustav Nyquist,DET,18,,3,,8,,11,,1,,4,,9,,4,,1,,0,,1,,0,,2,,0,,0,,2,,39,,0.077,
 Leon Draisaitl,EDM,19,,4,,7,,11,,-6,,2,,6,,7,,135,,131,,0.508,,2,,1,,0,,0,,0,,34,,0.118,
 Vincent Trocheck,FLA,18,,6,,5,,11,,-4,,6,,41,,12,,182,,181,,0.501,,0,,2,,0,,0,,1,,45,,0.133,
 Johnny Gaudreau,CGY,17,,5,,6,,11,,-10,,0,,3,,4,,0,,0,,N/A,,1,,1,,0,,0,,1,,44,,0.114,
 Rick Nash,NYR,18,,7,,4,,11,,-1,,10,,8,,15,,0,,0,,N/A,,2,,1,,0,,0,,1,,51,,0.137,
 Chris Kreider,NYR,12,,3,,8,,11,,-1,,6,,26,,6,,1,,1,,0.5,,1,,2,,0,,0,,0,,39,,0.077,
 Chris Kunitz,PIT,18,,2,,9,,11,,5,,18,,59,,6,,3,,4,,0.429,,0,,2,,0,,0,,2,,36,,0.056,
 Brady Skjei,NYR,18,,0,,11,,11,,5,,2,,30,,15,,0,,0,,N/A,,0,,2,,0,,0,,0,,18,,0,
 Tyler Johnson,TAM,19,,6,,5,,11,,-5,,8,,18,,11,,161,,142,,0.531,,4,,3,,0,,0,,1,,36,,0.167,
 Brandon Sutter,VAN,19,,5,,6,,11,,-9,,0,,13,,11,,189,,162,,0.538,,1,,1,,0,,0,,1,,50,,0.1,
 Kris Letang,PIT,13,,2,,9,,11,,-5,,10,,26,,22,,0,,0,,N/A,,1,,5,,0,,0,,1,,44,,0.045,
 Brent Seabrook,CHI,19,,2,,9,,11,,10,,2,,28,,31,,0,,0,,N/A,,2,,2,,0,,0,,0,,34,,0.059,
 Jimmy Vesey,NYR,18,,7,,4,,11,,6,,2,,11,,7,,0,,0,,N/A,,2,,1,,0,,0,,2,,30,,0.233,
 Ryan McDonagh,NYR,18,,0,,11,,11,,9,,4,,17,,28,,0,,0,,N/A,,0,,3,,0,,0,,0,,29,,0,
 Mark Streit,PHI,19,,4,,7,,11,,-5,,12,,12,,20,,0,,0,,N/A,,1,,4,,0,,0,,1,,36,,0.111,
 Alec Martinez,LOS,19,,3,,8,,11,,-1,,4,,40,,35,,0,,0,,N/A,,0,,2,,0,,0,,2,,44,,0.068,
 Derek Stepan,NYR,18,,2,,9,,11,,2,,6,,3,,16,,145,,175,,0.453,,0,,4,,1,,0,,1,,35,,0.057,
 Alex Killorn,TAM,19,,7,,4,,11,,1,,12,,31,,7,,1,,4,,0.2,,2,,3,,0,,0,,2,,46,,0.152,
 P.K. Subban,NAS,17,,3,,8,,11,,-8,,16,,18,,35,,0,,0,,N/A,,2,,4,,0,,0,,1,,40,,0.075,
 Morgan Rielly,TOR,18,,1,,10,,11,,0,,7,,8,,37,,0,,0,,N/A,,1,,1,,0,,0,,0,,33,,0.03,
 David Perron,STL,19,,6,,5,,11,,-7,,10,,17,,7,,12,,18,,0.4,,2,,3,,0,,0,,2,,40,,0.15,
 Brandon Pirri,NYR,18,,5,,5,,10,,5,,2,,10,,6,,46,,30,,0.605,,3,,1,,0,,0,,3,,29,,0.172,
 Jesper Fast,NYR,18,,2,,8,,10,,8,,10,,26,,7,,6,,4,,0.6,,0,,0,,0,,0,,0,,10,,0.2,
 Richard Panik,CHI,19,,6,,4,,10,,2,,4,,45,,7,,0,,2,,0,,2,,1,,0,,0,,1,,27,,0.222,
 Mike Ribeiro,NAS,17,,3,,7,,10,,1,,10,,10,,2,,75,,82,,0.478,,2,,1,,0,,0,,0,,17,,0.176,
 Brendan Gallagher,MON,19,,4,,6,,10,,5,,18,,24,,5,,19,,26,,0.422,,1,,0,,0,,0,,1,,50,,0.08,
 Jordan Martinook,ARI,17,,5,,5,,10,,3,,10,,14,,16,,88,,117,,0.429,,1,,0,,0,,1,,0,,25,,0.2,
 Nic Dowd,LOS,17,,2,,8,,10,,-2,,2,,48,,11,,96,,113,,0.459,,1,,2,,0,,0,,1,,20,,0.1,
 Bo Horvat,VAN,19,,6,,4,,10,,-7,,12,,26,,6,,154,,152,,0.503,,0,,1,,2,,0,,0,,28,,0.214,
 Kyle Okposo,BUF,17,,5,,5,,10,,1,,6,,15,,6,,33,,26,,0.559,,1,,5,,0,,0,,0,,48,,0.104,
 Aleksander Barkov,FLA,18,,2,,8,,10,,0,,0,,11,,8,,120,,133,,0.474,,0,,2,,0,,0,,1,,31,,0.065,
 Alexander Steen,STL,17,,2,,8,,10,,-8,,27,,8,,11,,20,,40,,0.333,,0,,3,,0,,0,,0,,30,,0.067,
 Viktor Arvidsson,NAS,17,,5,,5,,10,,-2,,4,,6,,10,,2,,1,,0.667,,1,,1,,1,,1,,0,,53,,0.094,
 Nick Holden,NYR,18,,2,,8,,10,,13,,6,,30,,21,,0,,0,,N/A,,1,,0,,0,,0,,0,,10,,0.2,
 Paul Stastny,STL,19,,4,,6,,10,,-2,,16,,10,,8,,222,,185,,0.545,,2,,3,,0,,0,,1,,28,,0.143,
 Sebastian Aho,CAR,16,,2,,8,,10,,0,,2,,7,,2,,0,,1,,0,,0,,3,,0,,0,,0,,35,,0.057,
 John Klingberg,DAL,19,,2,,8,,10,,-9,,8,,12,,27,,0,,0,,N/A,,0,,5,,0,,0,,0,,25,,0.08,
 Shayne Gostisbehere,PHI,18,,3,,7,,10,,-5,,8,,8,,20,,0,,0,,N/A,,1,,4,,0,,0,,1,,51,,0.059,
 Travis Zajac,NJD,17,,4,,6,,10,,0,,8,,23,,6,,179,,169,,0.514,,2,,1,,0,,0,,1,,37,,0.108,
 Ryan Dzingel,OTT,18,,5,,5,,10,,4,,0,,10,,10,,2,,2,,0.5,,0,,1,,1,,0,,1,,33,,0.152,
 Dustin Byfuglien,WPG,20,,1,,9,,10,,-1,,23,,51,,35,,0,,0,,N/A,,0,,1,,0,,0,,0,,52,,0.019,
 Tanner Pearson,LOS,17,,7,,3,,10,,6,,0,,27,,2,,0,,4,,0,,1,,0,,0,,0,,0,,36,,0.194,
 Sam Gagner,COB,14,,7,,3,,10,,5,,0,,2,,2,,29,,39,,0.426,,2,,2,,0,,0,,1,,31,,0.226,
 Scott Hartnell,COB,15,,4,,6,,10,,6,,2,,15,,7,,0,,0,,N/A,,1,,0,,0,,0,,0,,15,,0.267,
 Ryan Johansen,NAS,17,,1,,8,,9,,2,,14,,19,,5,,139,,136,,0.505,,1,,4,,0,,0,,0,,37,,0.027,
 Mikael Granlund,MIN,17,,4,,5,,9,,3,,2,,13,,11,,4,,4,,0.5,,1,,1,,1,,0,,2,,34,,0.118,
 Jordan Staal,CAR,16,,5,,4,,9,,0,,6,,32,,6,,170,,111,,0.605,,2,,0,,0,,0,,0,,35,,0.143,
 Jaromir Jagr,FLA,18,,2,,7,,9,,1,,12,,3,,2,,0,,0,,N/A,,1,,1,,0,,0,,0,,42,,0.048,
 Brandon Manning,PHI,18,,3,,6,,9,,3,,13,,42,,22,,0,,0,,N/A,,0,,0,,1,,0,,1,,27,,0.111,
 Colton Sceviour,FLA,18,,5,,4,,9,,-3,,8,,17,,17,,9,,8,,0.529,,1,,2,,2,,0,,1,,32,,0.156,
 Logan Couture,SAN,18,,4,,5,,9,,-2,,2,,6,,11,,72,,129,,0.358,,2,,0,,0,,0,,0,,60,,0.067,
 Jeff Petry,MON,18,,3,,6,,9,,6,,8,,38,,39,,0,,0,,N/A,,1,,2,,0,,0,,0,,32,,0.094,
 Tomas Hertl,SAN,17,,4,,5,,9,,0,,10,,26,,5,,88,,69,,0.561,,1,,1,,0,,0,,1,,39,,0.103,
 Dustin Brown,LOS,19,,3,,6,,9,,-5,,10,,46,,3,,0,,1,,0,,1,,2,,1,,0,,1,,42,,0.071,
 Sam Bennett,CGY,19,,4,,5,,9,,-1,,26,,36,,5,,84,,93,,0.475,,1,,0,,0,,0,,0,,27,,0.148,
 Patrick Maroon,EDM,19,,6,,3,,9,,3,,17,,41,,3,,1,,4,,0.2,,0,,1,,0,,0,,0,,44,,0.136,
 Milan Lucic,EDM,19,,5,,4,,9,,-3,,9,,47,,5,,2,,1,,0.667,,2,,1,,0,,0,,1,,40,,0.125,
 Robby Fabbri,STL,18,,4,,5,,9,,-4,,15,,24,,9,,2,,2,,0.5,,3,,2,,0,,0,,0,,29,,0.138,
 Matt Cullen,PIT,18,,3,,6,,9,,2,,4,,9,,3,,131,,116,,0.53,,0,,1,,0,,0,,1,,19,,0.158,
