Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct,
 Lukas Sedlak,COB,13,,0,,4,,4,,5,,2,,11,,8,,36,,40,,0.474,,0,,0,,0,,0,,0,,10,,0,
 Jyrki Jokipakka,CGY,12,,1,,3,,4,,-3,,4,,5,,11,,0,,0,,N/A,,0,,0,,0,,0,,0,,5,,0.2,
 Andy Greene,NJD,17,,2,,2,,4,,0,,2,,20,,35,,0,,0,,N/A,,0,,0,,1,,0,,1,,19,,0.105,
 Chris Tierney,SAN,18,,0,,4,,4,,-3,,0,,12,,13,,65,,82,,0.442,,0,,0,,0,,0,,0,,16,,0,
 Matt Stajan,CGY,19,,0,,4,,4,,2,,8,,15,,13,,96,,70,,0.578,,0,,0,,0,,0,,0,,16,,0,
 Tom Gilbert,LOS,12,,1,,3,,4,,-2,,2,,6,,17,,0,,0,,N/A,,0,,1,,0,,0,,0,,9,,0.111,
 Trevor Lewis,LOS,19,,2,,2,,4,,-5,,4,,39,,5,,20,,30,,0.4,,0,,0,,0,,0,,0,,28,,0.071,
 Francois Beauchemin,COL,17,,0,,4,,4,,2,,4,,17,,31,,0,,0,,N/A,,0,,1,,0,,0,,0,,27,,0,
 Braydon Coburn,TAM,19,,0,,4,,4,,3,,12,,22,,11,,0,,0,,N/A,,0,,0,,0,,0,,0,,23,,0,
 Dion Phaneuf,OTT,18,,1,,3,,4,,-8,,23,,35,,40,,0,,0,,N/A,,0,,1,,0,,0,,0,,46,,0.022,
 Calle Jarnkrok,NAS,17,,3,,1,,4,,0,,2,,8,,3,,66,,83,,0.443,,0,,0,,0,,0,,0,,21,,0.143,
 Karl Alzner,WAS,17,,2,,2,,4,,6,,8,,20,,23,,0,,0,,N/A,,0,,0,,0,,0,,0,,21,,0.095,
 Martin Marincin,TOR,13,,1,,3,,4,,-4,,0,,15,,15,,0,,0,,N/A,,0,,0,,0,,0,,0,,13,,0.077,
 Patrik Berglund,STL,19,,1,,3,,4,,-3,,8,,37,,10,,124,,112,,0.525,,0,,0,,0,,0,,0,,30,,0.033,
 David Savard,COB,15,,1,,3,,4,,4,,10,,30,,26,,0,,0,,N/A,,0,,0,,0,,0,,0,,15,,0.067,
 Joel Ward,SAN,18,,1,,3,,4,,-4,,4,,15,,12,,42,,51,,0.452,,0,,0,,0,,0,,0,,23,,0.043,
 Andrew MacDonald,PHI,11,,1,,3,,4,,-2,,4,,10,,21,,0,,0,,N/A,,0,,0,,0,,0,,0,,8,,0.125,
 Andrew Copp,WPG,10,,2,,2,,4,,0,,0,,15,,7,,13,,33,,0.283,,0,,0,,1,,0,,0,,9,,0.222,
 Melker Karlsson,SAN,15,,2,,2,,4,,3,,4,,10,,11,,0,,2,,0,,0,,0,,0,,0,,0,,12,,0.167,
 Jakob Chychrun,ARI,15,,1,,3,,4,,-2,,23,,24,,19,,0,,0,,N/A,,0,,0,,0,,0,,0,,17,,0.059,
 Aaron Ekblad,FLA,18,,4,,0,,4,,-7,,24,,40,,17,,0,,0,,N/A,,2,,0,,0,,0,,1,,48,,0.083,
 Marcus Kruger,CHI,19,,1,,3,,4,,5,,16,,9,,13,,105,,106,,0.498,,0,,0,,0,,0,,0,,19,,0.053,
 Matt Beleskey,BOS,17,,2,,2,,4,,-3,,15,,35,,8,,19,,27,,0.413,,0,,1,,0,,0,,0,,26,,0.077,
 Michael Raffl,PHI,10,,3,,1,,4,,4,,0,,16,,4,,1,,1,,0.5,,0,,0,,0,,0,,0,,11,,0.273,
 Elias Lindholm,CAR,16,,0,,4,,4,,-6,,2,,19,,14,,103,,89,,0.536,,0,,2,,0,,1,,0,,31,,0,
 Philip Larsen,VAN,13,,0,,4,,4,,-8,,4,,4,,12,,0,,0,,N/A,,0,,2,,0,,0,,0,,22,,0,
 Bryan Rust,PIT,15,,2,,2,,4,,-4,,2,,29,,8,,1,,0,,1,,0,,0,,0,,0,,0,,32,,0.063,
 Zack Smith,OTT,18,,3,,1,,4,,-2,,27,,36,,6,,73,,62,,0.541,,0,,0,,1,,0,,0,,37,,0.081,
 Stephen Johns,DAL,16,,2,,2,,4,,-4,,8,,44,,32,,0,,0,,N/A,,0,,0,,0,,0,,1,,17,,0.118,
 Ben Hutton,VAN,19,,2,,2,,4,,-8,,12,,16,,25,,0,,0,,N/A,,0,,2,,0,,0,,1,,35,,0.057,
 Nick Shore,LOS,18,,0,,3,,3,,-2,,8,,15,,9,,76,,98,,0.437,,0,,0,,0,,0,,0,,21,,0,
 Jared McCann,FLA,17,,1,,2,,3,,0,,2,,14,,4,,19,,25,,0.432,,0,,0,,0,,0,,0,,21,,0.048,
 Vinnie Hinostroza,CHI,10,,1,,2,,3,,0,,0,,5,,6,,5,,9,,0.357,,0,,0,,0,,0,,0,,9,,0.111,
 Kyle Rau,FLA,11,,2,,1,,3,,-1,,4,,11,,2,,2,,1,,0.667,,0,,0,,0,,0,,0,,10,,0.2,
 Matt Hunwick,TOR,10,,0,,3,,3,,-1,,0,,21,,14,,0,,0,,N/A,,0,,0,,0,,0,,0,,14,,0,
 Brett Pesce,CAR,16,,0,,3,,3,,2,,4,,12,,30,,0,,0,,N/A,,0,,1,,0,,0,,0,,16,,0,
 Colton Sissons,NAS,16,,2,,1,,3,,0,,0,,33,,7,,75,,75,,0.5,,0,,0,,1,,0,,0,,8,,0.25,
 Matt Calvert,COB,15,,2,,1,,3,,0,,12,,19,,8,,2,,11,,0.154,,0,,0,,1,,0,,1,,21,,0.095,
 Artturi Lehkonen,MON,12,,2,,1,,3,,0,,6,,12,,4,,0,,0,,N/A,,0,,0,,0,,0,,0,,27,,0.074,
 Pierre-Edouard Bellemare,PHI,19,,0,,3,,3,,5,,2,,22,,16,,103,,118,,0.466,,0,,0,,0,,1,,0,,24,,0,
 Justin Williams,WAS,17,,2,,1,,3,,-3,,12,,4,,9,,23,,10,,0.697,,1,,0,,0,,0,,0,,33,,0.061,
 Marc Staal,NYR,18,,1,,2,,3,,8,,4,,17,,21,,0,,0,,N/A,,0,,0,,0,,1,,0,,16,,0.063,
 Brett Kulak,CGY,11,,0,,3,,3,,3,,8,,6,,8,,0,,0,,N/A,,0,,0,,0,,0,,0,,9,,0,
 Anton Slepyshev,EDM,9,,1,,2,,3,,4,,2,,15,,2,,0,,0,,N/A,,0,,0,,0,,0,,0,,17,,0.059,
 Anthony Duclair,ARI,17,,1,,2,,3,,0,,4,,6,,2,,0,,0,,N/A,,0,,0,,0,,0,,0,,21,,0.048,
 Eric Fehr,PIT,18,,2,,1,,3,,-2,,2,,18,,14,,25,,20,,0.556,,0,,0,,0,,0,,1,,18,,0.111,
 Nikita Nesterov,TAM,14,,2,,1,,3,,3,,10,,21,,13,,0,,0,,N/A,,1,,0,,0,,0,,0,,19,,0.105,
 Joseph Cramarossa,ANA,13,,1,,2,,3,,0,,20,,29,,9,,1,,0,,1,,0,,0,,0,,0,,0,,6,,0.167,
 Klas Dahlbeck,CAR,9,,1,,2,,3,,0,,12,,13,,6,,0,,0,,N/A,,0,,0,,0,,0,,0,,5,,0.2,
 Michael Stone,ARI,8,,0,,3,,3,,-3,,2,,17,,14,,0,,0,,N/A,,0,,1,,0,,0,,0,,9,,0,
 Viktor Stalberg,CAR,15,,2,,1,,3,,-3,,13,,24,,2,,0,,1,,0,,0,,0,,0,,0,,1,,20,,0.1,
 J.T. Brown,TAM,18,,2,,1,,3,,-3,,22,,24,,7,,0,,1,,0,,0,,0,,1,,0,,1,,20,,0.1,
 Yannick Weber,NAS,16,,0,,3,,3,,7,,15,,19,,13,,0,,0,,N/A,,0,,0,,0,,0,,0,,14,,0,
 Gemel Smith,DAL,12,,2,,1,,3,,1,,21,,3,,4,,21,,30,,0.412,,0,,0,,1,,0,,0,,14,,0.143,
 Marc Methot,OTT,18,,0,,3,,3,,3,,4,,37,,19,,0,,0,,N/A,,0,,0,,0,,0,,0,,29,,0,
 Paul Postma,WPG,16,,0,,3,,3,,0,,2,,10,,12,,0,,0,,N/A,,0,,0,,0,,0,,0,,15,,0,
 Slater Koekkoek,TAM,10,,0,,3,,3,,5,,6,,12,,10,,0,,0,,N/A,,0,,0,,0,,0,,0,,11,,0,
 Curtis McKenzie,DAL,15,,1,,2,,3,,1,,24,,30,,10,,1,,1,,0.5,,0,,0,,0,,0,,0,,19,,0.053,
 Erik Haula,MIN,10,,1,,2,,3,,2,,6,,4,,4,,54,,62,,0.466,,0,,0,,0,,0,,0,,22,,0.045,
 Greg Pateryn,MON,13,,1,,2,,3,,0,,0,,16,,29,,0,,0,,N/A,,0,,0,,0,,0,,0,,13,,0.077,
 Andrew Ladd,NYI,17,,2,,1,,3,,-4,,12,,17,,6,,0,,1,,0,,0,,0,,0,,0,,0,,29,,0.069,
 Ian Cole,PIT,18,,1,,2,,3,,2,,17,,42,,42,,0,,0,,N/A,,0,,0,,0,,0,,0,,19,,0.053,
 Jake McCabe,BUF,18,,0,,3,,3,,0,,12,,16,,21,,0,,0,,N/A,,0,,0,,0,,0,,0,,14,,0,
 Kyle Brodziak,STL,18,,2,,1,,3,,-2,,19,,17,,9,,49,,68,,0.419,,0,,0,,0,,0,,1,,16,,0.125,
 Jay Bouwmeester,STL,19,,1,,2,,3,,-4,,10,,19,,25,,0,,0,,N/A,,0,,0,,0,,0,,0,,26,,0.038,
 Matthew Benning,EDM,10,,0,,3,,3,,6,,2,,14,,9,,0,,0,,N/A,,0,,1,,0,,0,,0,,10,,0,
 Danny DeKeyser,DET,18,,1,,2,,3,,-2,,15,,21,,33,,0,,0,,N/A,,0,,0,,0,,0,,0,,8,,0.125,
 Andrej Sustr,TAM,19,,0,,3,,3,,-3,,13,,14,,27,,0,,0,,N/A,,0,,0,,0,,0,,0,,21,,0,
 Josh Morrissey,WPG,20,,1,,2,,3,,1,,8,,30,,36,,0,,0,,N/A,,0,,0,,0,,0,,1,,24,,0.042,
 Riley Nash,BOS,18,,1,,2,,3,,1,,4,,7,,7,,87,,73,,0.544,,0,,0,,0,,0,,0,,25,,0.04,
 Andreas Martinsen,COL,17,,1,,2,,3,,1,,11,,56,,11,,1,,0,,1,,0,,0,,0,,1,,0,,21,,0.048,
 Zac Dalpe,MIN,9,,1,,2,,3,,0,,9,,5,,5,,27,,32,,0.458,,0,,0,,0,,0,,0,,8,,0.125,
 Blake Comeau,COL,13,,2,,1,,3,,-1,,18,,32,,6,,36,,31,,0.537,,1,,0,,0,,0,,0,,19,,0.105,
 Troy Stecher,VAN,10,,1,,2,,3,,-6,,9,,4,,11,,0,,0,,N/A,,0,,0,,0,,0,,0,,31,,0.032,
 Ben Chiarot,WPG,19,,0,,3,,3,,-4,,10,,24,,25,,0,,0,,N/A,,0,,0,,0,,0,,0,,12,,0,
 Chris Kelly,OTT,18,,1,,2,,3,,-2,,4,,14,,15,,75,,95,,0.441,,0,,0,,0,,0,,0,,23,,0.043,
 Jori Lehtera,STL,15,,1,,2,,3,,1,,8,,9,,8,,107,,82,,0.566,,0,,1,,0,,0,,1,,21,,0.048,
 Yohann Auvitu,NJD,15,,1,,2,,3,,3,,0,,12,,6,,0,,0,,N/A,,0,,1,,0,,0,,0,,37,,0.027,
 Shane Harper,FLA,14,,2,,1,,3,,-1,,18,,19,,0,,0,,0,,N/A,,0,,0,,0,,0,,0,,13,,0.154,
 Joakim Nordstrom,CAR,16,,1,,2,,3,,-4,,2,,19,,16,,1,,2,,0.333,,0,,0,,0,,0,,1,,25,,0.04,
 Adam Larsson,EDM,19,,1,,2,,3,,-1,,10,,57,,31,,0,,0,,N/A,,0,,0,,0,,0,,0,,23,,0.043,
 Ryan White,ARI,16,,1,,2,,3,,-5,,25,,51,,7,,8,,18,,0.308,,0,,0,,0,,0,,1,,13,,0.077,
 Anton Lander,EDM,16,,1,,2,,3,,4,,6,,19,,7,,72,,54,,0.571,,0,,0,,0,,0,,0,,7,,0.143,
 Adam Cracknell,DAL,19,,2,,1,,3,,2,,0,,25,,13,,33,,36,,0.478,,0,,0,,0,,0,,0,,22,,0.091,
 Daniel Winnik,WAS,10,,2,,1,,3,,3,,4,,2,,5,,1,,2,,0.333,,0,,0,,0,,0,,1,,6,,0.333,
 Kris Russell,EDM,12,,0,,3,,3,,6,,0,,9,,34,,0,,0,,N/A,,0,,0,,0,,0,,0,,15,,0,
 Brandon Tanev,WPG,20,,2,,1,,3,,-3,,19,,46,,16,,0,,0,,N/A,,0,,0,,0,,0,,1,,30,,0.067,
 Chris VandeVelde,PHI,19,,2,,1,,3,,-5,,2,,27,,12,,10,,8,,0.556,,0,,0,,0,,0,,0,,14,,0.143,
 Zach Hyman,TOR,18,,2,,1,,3,,-4,,6,,30,,10,,7,,12,,0.368,,0,,0,,0,,0,,1,,40,,0.05,
 Jake Muzzin,LOS,19,,2,,1,,3,,-2,,14,,44,,33,,0,,0,,N/A,,1,,0,,0,,0,,0,,47,,0.043,
 Nick Schultz,PHI,9,,0,,3,,3,,0,,2,,15,,20,,0,,0,,N/A,,0,,0,,0,,0,,0,,9,,0,
 Alexander Edler,VAN,18,,1,,2,,3,,-9,,4,,33,,45,,2,,1,,0.667,,1,,1,,0,,0,,0,,42,,0.024,
 Clayton Stoner,ANA,14,,1,,2,,3,,0,,28,,35,,17,,0,,0,,N/A,,0,,0,,0,,0,,0,,16,,0.063,
 Fedor Tyutin,COL,13,,0,,3,,3,,-1,,8,,26,,19,,0,,0,,N/A,,0,,0,,0,,0,,0,,10,,0,
 Luca Sbisa,VAN,19,,0,,3,,3,,1,,8,,31,,30,,0,,0,,N/A,,0,,0,,0,,0,,0,,8,,0,
 Erik Gudbranson,VAN,19,,0,,3,,3,,-9,,7,,38,,25,,0,,0,,N/A,,0,,0,,0,,0,,0,,25,,0,
 Shawn Matthias,WPG,10,,2,,1,,3,,2,,4,,7,,5,,1,,4,,0.2,,0,,0,,0,,0,,1,,12,,0.167,
 Mark Pysyk,FLA,18,,1,,2,,3,,4,,2,,12,,27,,0,,1,,0,,0,,0,,0,,0,,0,,15,,0.067,
 Riley Sheahan,DET,18,,0,,3,,3,,-10,,8,,9,,11,,23,,19,,0.548,,0,,1,,0,,0,,0,,26,,0,
 Mathieu Perreault,WPG,11,,1,,2,,3,,-5,,6,,16,,3,,80,,76,,0.513,,0,,1,,0,,0,,0,,27,,0.037,
 Micheal Haley,SAN,8,,0,,2,,2,,-1,,32,,24,,4,,0,,0,,N/A,,0,,0,,0,,0,,0,,3,,0,
 Taylor Fedun,BUF,2,,0,,2,,2,,0,,0,,1,,0,,0,,0,,N/A,,0,,1,,0,,0,,0,,2,,0,
 Justin Braun,SAN,18,,0,,2,,2,,-4,,2,,22,,37,,0,,0,,N/A,,0,,0,,0,,0,,0,,19,,0,
 Markus Nutivaara,COB,15,,1,,1,,2,,2,,2,,7,,8,,0,,0,,N/A,,0,,0,,0,,0,,0,,12,,0.083,
 Mikkel Boedker,SAN,18,,2,,0,,2,,-7,,4,,13,,4,,2,,8,,0.2,,0,,0,,0,,0,,0,,17,,0.118,
 Derek Grant,BUF,18,,0,,2,,2,,-2,,15,,14,,9,,98,,87,,0.53,,0,,0,,0,,0,,0,,15,,0,
 Daniel Carr,MON,8,,1,,1,,2,,2,,4,,11,,5,,1,,1,,0.5,,0,,0,,0,,0,,1,,13,,0.077,
 Christian Folin,MIN,16,,0,,2,,2,,7,,16,,25,,22,,0,,0,,N/A,,0,,0,,0,,0,,0,,17,,0,
 Cody Ceci,OTT,18,,0,,2,,2,,-8,,6,,33,,39,,0,,0,,N/A,,0,,0,,0,,1,,0,,32,,0,
 Alex Burmistrov,WPG,18,,0,,2,,2,,-3,,2,,22,,4,,42,,73,,0.365,,0,,0,,0,,1,,0,,12,,0,
 Ben Smith,TOR,16,,1,,1,,2,,-3,,0,,11,,11,,108,,95,,0.532,,0,,0,,0,,0,,0,,12,,0.083,
 Brayden McNabb,LOS,8,,2,,0,,2,,3,,11,,13,,8,,0,,0,,N/A,,0,,0,,0,,0,,0,,6,,0.333,
 Justin Dowling,DAL,5,,0,,2,,2,,0,,2,,1,,0,,20,,21,,0.488,,0,,1,,0,,0,,0,,9,,0,
 Pontus Aberg,NAS,4,,1,,1,,2,,2,,2,,2,,0,,1,,0,,1,,0,,0,,0,,0,,0,,4,,0.25,
 Ben Lovejoy,NJD,17,,0,,2,,2,,-2,,4,,25,,29,,0,,0,,N/A,,0,,0,,0,,0,,0,,23,,0,
 Roman Polak,TOR,14,,1,,1,,2,,-3,,17,,49,,27,,0,,0,,N/A,,0,,0,,0,,0,,0,,11,,0.091,
 Brendan Gaunce,VAN,19,,0,,2,,2,,-3,,20,,24,,3,,51,,49,,0.51,,0,,0,,0,,0,,0,,15,,0,
 Tom Kuhnhackl,PIT,12,,0,,2,,2,,1,,4,,17,,6,,0,,1,,0,,0,,0,,0,,0,,0,,8,,0,
 Milan Michalek,TOR,5,,1,,1,,2,,-2,,2,,7,,9,,0,,1,,0,,0,,0,,0,,0,,0,,6,,0.167,
 Jason Garrison,TAM,19,,0,,2,,2,,-4,,6,,22,,31,,0,,0,,N/A,,0,,0,,0,,0,,0,,28,,0,
 Korbinian Holzer,ANA,6,,0,,2,,2,,1,,4,,13,,8,,0,,0,,N/A,,0,,0,,0,,0,,0,,4,,0,
 Lars Eller,WAS,17,,2,,0,,2,,-1,,16,,9,,3,,94,,100,,0.485,,0,,0,,0,,0,,0,,22,,0.091,
 Matt Greene,LOS,9,,1,,1,,2,,1,,6,,37,,8,,0,,0,,N/A,,0,,0,,0,,0,,0,,5,,0.2,
 Chris Neil,OTT,17,,1,,1,,2,,-5,,18,,39,,9,,0,,0,,N/A,,0,,0,,0,,0,,0,,18,,0.056,
 Dale Weise,PHI,15,,0,,2,,2,,-1,,4,,28,,4,,0,,0,,N/A,,0,,0,,0,,0,,0,,16,,0,
 Michal Kempny,CHI,17,,0,,2,,2,,4,,10,,33,,22,,0,,0,,N/A,,0,,0,,0,,0,,0,,21,,0,
 Laurent Dauphin,ARI,13,,1,,1,,2,,-1,,4,,19,,6,,17,,21,,0.447,,0,,0,,1,,0,,0,,14,,0.071,
 Nikita Zadorov,COL,16,,0,,2,,2,,-5,,20,,34,,19,,0,,0,,N/A,,0,,0,,0,,0,,0,,12,,0,
 Colin Miller,BOS,15,,1,,1,,2,,-6,,4,,16,,8,,0,,0,,N/A,,0,,0,,0,,0,,0,,24,,0.042,
 Chris Wagner,ANA,16,,2,,0,,2,,-4,,6,,37,,7,,29,,43,,0.403,,0,,0,,0,,0,,0,,16,,0.125,
 Nicholas Baptiste,BUF,12,,2,,0,,2,,1,,6,,10,,1,,1,,2,,0.333,,0,,0,,0,,0,,0,,12,,0.167,
 Anders Lee,NYI,17,,1,,1,,2,,1,,10,,47,,9,,1,,3,,0.25,,0,,0,,0,,0,,0,,28,,0.036,
 Greg McKegg,FLA,17,,0,,2,,2,,-2,,6,,16,,5,,12,,15,,0.444,,0,,0,,0,,0,,0,,13,,0,
 Kevin Fiala,NAS,10,,2,,0,,2,,-1,,2,,8,,1,,0,,0,,N/A,,0,,0,,0,,0,,1,,18,,0.111,
 Connor Carrick,TOR,16,,1,,1,,2,,3,,20,,17,,19,,0,,0,,N/A,,0,,0,,0,,0,,0,,28,,0.036,
 Michael Sgarbossa,FLA,9,,0,,2,,2,,-2,,0,,6,,4,,34,,47,,0.42,,0,,1,,0,,0,,0,,7,,0,
 Ryan Garbutt,ANA,18,,1,,1,,2,,-4,,12,,34,,9,,5,,4,,0.556,,0,,0,,0,,1,,1,,18,,0.056,
 Brian Flynn,MON,12,,0,,2,,2,,1,,2,,8,,8,,9,,14,,0.391,,0,,0,,0,,0,,0,,11,,0,
 Drew Miller,DET,15,,2,,0,,2,,-5,,2,,18,,12,,1,,0,,1,,0,,0,,0,,0,,1,,11,,0.182,
 Ryan Callahan,TAM,11,,1,,1,,2,,1,,17,,31,,10,,2,,3,,0.4,,0,,0,,0,,0,,0,,15,,0.067,
 Teddy Purcell,LOS,11,,0,,2,,2,,0,,0,,7,,2,,3,,0,,1,,0,,0,,0,,0,,0,,10,,0,
 Andrej Nestrasil,CAR,8,,1,,1,,2,,-4,,0,,9,,2,,2,,2,,0.5,,0,,0,,0,,0,,0,,18,,0.056,
 Tyler Graovac,MIN,9,,2,,0,,2,,1,,0,,12,,0,,36,,35,,0.507,,0,,0,,0,,0,,0,,9,,0.222,
 Jack Johnson,COB,15,,0,,2,,2,,5,,10,,26,,28,,0,,0,,N/A,,0,,0,,0,,0,,0,,18,,0,
 Reid Boucher,NJD,7,,0,,2,,2,,1,,2,,6,,4,,0,,0,,N/A,,0,,0,,0,,0,,0,,11,,0,
 Noel Acciari,BOS,12,,0,,2,,2,,1,,4,,26,,2,,7,,12,,0.368,,0,,0,,0,,0,,0,,8,,0,
 Brian Dumoulin,PIT,18,,0,,2,,2,,-5,,10,,33,,23,,0,,0,,N/A,,0,,0,,0,,0,,0,,28,,0,
 Steve Ott,DET,15,,1,,1,,2,,1,,24,,37,,5,,37,,25,,0.597,,0,,0,,0,,0,,0,,13,,0.077,
 Matt Martin,TOR,18,,0,,2,,2,,-1,,41,,83,,2,,0,,5,,0,,0,,0,,0,,0,,0,,17,,0,
 Ryan Murray,COB,10,,0,,2,,2,,2,,8,,3,,17,,0,,0,,N/A,,0,,0,,0,,1,,0,,6,,0,
 Ryan Reaves,STL,17,,0,,2,,2,,1,,9,,43,,1,,0,,0,,N/A,,0,,0,,0,,0,,0,,12,,0,
 Nikita Soshnikov,TOR,9,,1,,1,,2,,0,,4,,21,,1,,1,,2,,0.333,,0,,0,,0,,0,,0,,12,,0.083,
 Tyler Ennis,BUF,12,,1,,1,,2,,-6,,0,,5,,3,,0,,3,,0,,0,,0,,0,,0,,0,,29,,0.034,
 Adam Clendening,NYR,6,,0,,2,,2,,4,,2,,1,,4,,0,,0,,N/A,,0,,0,,0,,0,,0,,4,,0,
 Alan Quine,NYI,9,,1,,1,,2,,2,,2,,18,,4,,10,,9,,0.526,,0,,0,,0,,0,,1,,6,,0.167,
 Jacob Josefson,NJD,9,,0,,2,,2,,1,,4,,9,,2,,33,,20,,0.623,,0,,1,,0,,0,,0,,10,,0,
 Niklas Kronwall,DET,6,,0,,1,,1,,-4,,0,,8,,7,,0,,0,,N/A,,0,,0,,0,,0,,0,,11,,0,
 Bryan Little,WPG,1,,0,,1,,1,,1,,0,,0,,0,,2,,1,,0.667,,0,,0,,0,,0,,0,,1,,0,
 Michal Rozsival,CHI,5,,0,,1,,1,,1,,2,,14,,8,,0,,0,,N/A,,0,,0,,0,,0,,0,,4,,0,
 Vernon Fiddler,NJD,17,,0,,1,,1,,-2,,13,,15,,9,,112,,95,,0.541,,0,,0,,0,,0,,0,,14,,0,
 Drake Caggiula,EDM,1,,0,,1,,1,,1,,0,,1,,0,,2,,2,,0.5,,0,,0,,0,,0,,0,,0,,N/A,
 Marco Scandella,MIN,7,,0,,1,,1,,-6,,0,,4,,6,,0,,0,,N/A,,0,,0,,0,,0,,0,,8,,0,
 Oscar Lindberg,NYR,7,,0,,1,,1,,-1,,8,,5,,6,,21,,16,,0.568,,0,,1,,0,,0,,0,,5,,0,
 Eric Gelinas,COL,7,,0,,1,,1,,-1,,6,,3,,3,,0,,0,,N/A,,0,,0,,0,,0,,0,,9,,0,
 Anthony Mantha,DET,3,,0,,1,,1,,-1,,0,,4,,3,,1,,0,,1,,0,,1,,0,,0,,0,,2,,0,
 Nate Prosser,MIN,8,,0,,1,,1,,0,,0,,5,,11,,0,,0,,N/A,,0,,0,,0,,0,,0,,5,,0,
 Sergey Kalinin,NJD,12,,0,,1,,1,,-2,,7,,19,,7,,3,,3,,0.5,,0,,0,,0,,0,,0,,11,,0,
 Ryan Murphy,CAR,4,,0,,1,,1,,-6,,0,,0,,5,,0,,0,,N/A,,0,,0,,0,,0,,0,,1,,0,
 Christopher Tanev,VAN,7,,0,,1,,1,,0,,6,,3,,19,,0,,0,,N/A,,0,,0,,0,,0,,0,,4,,0,
 Nick Sorensen,ANA,5,,0,,1,,1,,-1,,2,,2,,3,,1,,0,,1,,0,,0,,0,,0,,0,,7,,0,
 Brett Connolly,WAS,9,,1,,0,,1,,1,,6,,22,,1,,0,,0,,N/A,,0,,0,,0,,0,,0,,11,,0.091,
 Dennis Rasmussen,CHI,17,,1,,0,,1,,-2,,2,,19,,17,,35,,46,,0.432,,0,,0,,0,,0,,0,,18,,0.056,
 Roman Lyubimov,PHI,12,,1,,0,,1,,-2,,0,,11,,4,,0,,2,,0,,0,,0,,0,,0,,0,,16,,0.063,
 Dylan Strome,ARI,7,,0,,1,,1,,-5,,0,,3,,2,,31,,46,,0.403,,0,,0,,0,,0,,0,,6,,0,
 Xavier Ouellet,DET,6,,0,,1,,1,,2,,0,,3,,4,,0,,0,,N/A,,0,,0,,0,,0,,0,,8,,0,
 Matt Nieto,SAN,9,,0,,1,,1,,-4,,0,,12,,4,,0,,2,,0,,0,,0,,0,,0,,0,,15,,0,
 Boyd Gordon,PHI,8,,1,,0,,1,,-1,,2,,3,,3,,33,,30,,0.524,,0,,0,,0,,0,,0,,6,,0.167,
 Josh Jooris,NYR,5,,1,,0,,1,,1,,0,,10,,2,,13,,8,,0.619,,0,,0,,0,,0,,0,,3,,0.333,
 Joel Edmundson,STL,13,,0,,1,,1,,-3,,17,,23,,15,,0,,0,,N/A,,0,,0,,0,,0,,0,,12,,0,
 Jack Skille,VAN,13,,0,,1,,1,,-6,,4,,23,,4,,0,,0,,N/A,,0,,0,,0,,0,,0,,17,,0,
 Matt Hendricks,EDM,1,,0,,1,,1,,1,,0,,1,,1,,0,,0,,N/A,,0,,0,,0,,0,,0,,1,,0,
 Lawson Crouse,ARI,13,,1,,0,,1,,-5,,6,,23,,9,,0,,0,,N/A,,0,,0,,0,,0,,0,,14,,0.071,
 Joe Morrow,BOS,5,,0,,1,,1,,0,,4,,6,,5,,0,,0,,N/A,,0,,0,,0,,0,,0,,7,,0,
 Shea Theodore,ANA,6,,0,,1,,1,,-2,,4,,0,,6,,0,,0,,N/A,,0,,0,,0,,1,,0,,6,,0,
 Bryan Bickell,CAR,7,,1,,0,,1,,-1,,4,,10,,1,,0,,2,,0,,1,,0,,0,,0,,1,,6,,0.167,
 Jared Boll,ANA,16,,0,,1,,1,,-6,,26,,12,,2,,0,,1,,0,,0,,0,,0,,0,,0,,6,,0,
 Zachary Sanford,WAS,15,,0,,1,,1,,1,,4,,9,,4,,5,,3,,0.625,,0,,0,,0,,0,,0,,12,,0,
 William Carrier,BUF,8,,1,,0,,1,,2,,0,,29,,2,,0,,1,,0,,0,,0,,0,,0,,0,,14,,0.071,
 Austin Watson,NAS,13,,0,,1,,1,,3,,12,,23,,2,,0,,2,,0,,0,,0,,0,,0,,0,,10,,0,
 Jake Virtanen,VAN,10,,0,,1,,1,,1,,2,,17,,4,,3,,0,,1,,0,,0,,0,,0,,0,,13,,0,
 Michael Chaput,VAN,7,,0,,1,,1,,-1,,2,,11,,3,,30,,19,,0.612,,0,,0,,0,,0,,0,,4,,0,
 Matt Carle,NAS,6,,0,,1,,1,,-1,,0,,3,,5,,0,,0,,N/A,,0,,0,,0,,0,,0,,2,,0,
 Patrick Sharp,DAL,5,,0,,1,,1,,-2,,8,,7,,3,,3,,4,,0.429,,0,,0,,0,,0,,0,,12,,0,
 Mark Fayne,EDM,1,,0,,1,,1,,1,,0,,0,,0,,0,,0,,N/A,,0,,0,,0,,0,,0,,1,,0,
 Tom Sestito,PIT,8,,0,,1,,1,,0,,24,,15,,1,,0,,0,,N/A,,0,,0,,0,,0,,0,,2,,0,
 Kevin Labanc,SAN,6,,1,,0,,1,,2,,4,,4,,2,,0,,0,,N/A,,0,,0,,0,,0,,0,,8,,0.125,
